Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,43.63,0.17,"",C Vit
O,41.82,0.16,"",SiO2
Na,0.12,0.01,"",Albite
Mg,5.63,0.03,"",MgO
Al,0.81,0.01,"",Al2O3
Si,4.78,0.03,"",SiO2
Ca,1.12,0.02,"",Wollastonite
Fe,1.00,0.02,"",Fe
Cu,0.92,0.03,"",Cu
Ag,0.17,0.02,"",Ag
Total:,100.0,,100.0,
