Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.17,0.09,"",SiO2
Mg,18.59,0.06,"",MgO
Al,0.49,0.02,"",Al2O3
Si,26.12,0.07,"",SiO2
S,0.17,0.02,"",FeS2
Ca,0.67,0.02,"",Wollastonite
Fe,0.24,0.03,"",Fe
Ag,0.54,0.04,"",Ag
Total:,100.0,,100.0,
