Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,57.70,0.07,77.17,SiO2
Mg,0.28,0.01,0.24,MgO
Al,0.38,0.01,0.31,Al2O3
Si,0.23,0.01,0.18,SiO2
Ca,41.40,0.07,22.10,Wollastonite
Total:,100.0,,100.0,
