Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.45,0.08,66.49,SiO2
Mg,18.65,0.05,14.99,MgO
Al,0.30,0.02,0.21,Al2O3
Si,25.53,0.06,17.76,SiO2
S,0.29,0.02,0.18,FeS2
Ca,0.78,0.02,0.38,Wollastonite
Total:,100.0,,100.0,
