Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,24.47,"",33.89,""
O,45.24,"",47.03,""
Mg,12.33,"",8.43,""
Al,0.43,"",0.26,""
Si,17.53,"",10.38,""
Total:,100.0,,100.0,
