Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,56.74,0.10,70.70,""
Mg,15.96,0.06,13.09,""
Al,2.04,0.03,1.51,""
SI,11.87,0.05,8.43,""
S,0.08,0.01,0.05,""
K,0.05,0.01,0.03,""
Ca,10.62,0.04,5.28,""
Cr,0.12,0.01,0.05,""
Fe,2.25,0.02,0.80,""
Ni,0.11,0.02,0.04,""
Ag,0.16,0.02,0.03,""
Total:,100.0,,100.0,
