Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.18,0.14,"",SiO2
Na,0.22,0.03,"",Albite
Mg,0.18,0.02,"",MgO
Al,0.28,0.02,"",Al2O3
Si,0.11,0.01,"",SiO2
S,0.03,0.01,"",FeS2
Cl,0.15,0.01,"",NaCl
Ca,44.84,0.13,"",Wollastonite
Total:,100.0,,100.0,
