Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,17.75,"",25.71,""
O,47.85,"",52.04,""
Na,0.09,"",0.07,""
Mg,13.73,"",9.82,""
Si,19.39,"",12.01,""
S,0.06,"",0.03,""
Cl,0.12,"",0.06,""
Ca,0.34,"",0.15,""
Fe,0.06,"",0.02,""
Ag,0.62,"",0.10,""
Total:,100.0,,100.0,
