Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,51.86,0.09,64.06,""
Na,0.06,0.02,0.05,""
Mg,19.47,0.06,15.82,""
Al,0.20,0.02,0.15,""
Si,28.02,0.07,19.71,""
S,0.09,0.02,0.06,""
Cl,0.04,0.02,0.02,""
Ca,0.27,0.02,0.13,""
Total:,100.0,,100.0,
