Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,15.69,"",22.92,""
O,48.63,"",53.34,""
Mg,14.82,"",10.70,""
Si,20.87,"",13.04,""
Total:,100.0,,100.0,
