Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,82.05,0.18,"",C Vit
O,12.08,0.17,"",SiO2
Na,1.68,0.03,"",Albite
Al,0.11,0.01,"",Al2O3
SI,0.67,0.01,"",SiO2
Cl,1.63,0.02,"",NaCl
Ca,0.12,0.01,"",Wollastonite
Cu,0.69,0.04,"",Cu
Ag,0.97,0.03,"",Ag
Total:,100.0,,100.0,
