Element,Wt%,Wt% Sigma,Atomic%,Standard Label
N,8.66,0.25,11.85,BN
O,57.80,0.19,69.28,SiO2
Na,5.83,0.06,4.86,Albite
Al,0.18,0.02,0.13,Al2O3
Si,0.06,0.01,0.04,SiO2
P,0.35,0.02,0.22,GaP
S,0.07,0.01,0.04,FeS2
Cl,6.29,0.04,3.40,NaCl
K,20.76,0.09,10.18,KBr
Total:,100.0,,100.0,
