Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.11,0.11,66.90,""
Mg,20.23,0.08,16.46,""
Al,3.56,0.04,2.61,""
Si,16.64,0.07,11.72,""
S,0.24,0.02,0.15,""
Ca,2.23,0.03,1.10,""
Fe,3.00,0.06,1.06,""
Total:,100.0,,100.0,
