Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,55.91,0.13,75.94,""
Mg,0.28,0.02,0.25,""
Al,0.13,0.02,0.10,""
Si,0.07,0.01,0.06,""
S,0.06,0.01,0.04,""
Ca,43.55,0.13,23.61,""
Total:,100.0,,100.0,
