Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,26.04,,35.90,
O,46.15,,47.76,
Na,0.23,,0.16,
Mg,11.15,,7.59,
Al,1.71,,1.05,
Si,10.05,,5.92,
K,0.08,,0.03,
Ca,1.83,,0.76,
Fe,2.76,"",0.82,""
Total:,100.0,,100.0,
