Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.54,0.09,67.53,""
Na,0.24,0.03,0.21,""
Mg,19.46,0.06,15.85,""
Al,2.65,0.03,1.94,""
Si,16.43,0.05,11.59,""
S,0.06,0.01,0.04,""
K,0.10,0.01,0.05,""
Ca,3.45,0.02,1.71,""
Cr,0.16,0.01,0.06,""
Fe,2.79,0.02,0.99,""
Ni,0.12,0.01,0.04,""
Total:,100.0,,100.0,
