Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,52.74,0.17,"",SiO2
Mg,1.07,0.03,"",MgO
Al,0.45,0.02,"",Al2O3
Si,0.63,0.02,"",SiO2
Cl,0.07,0.02,"",NaCl
K,0.27,0.02,"",KBr
Ca,44.76,0.16,"",Wollastonite
Total:,100.0,,100.0,
