Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,40.26,"",50.51,""
O,41.37,"",38.96,""
Mg,8.04,"",4.98,""
Si,10.33,"",5.54,""
Total:,100.0,,100.0,
