Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,57.47,0.07,77.08,""
Mg,0.29,0.01,0.26,""
Al,0.16,0.01,0.13,""
SI,0.06,0.01,0.04,""
Ca,42.02,0.07,22.50,""
Total:,100.0,,100.0,
