Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.00,0.18,74.48,""
Mg,0.22,0.03,0.20,""
Al,0.26,0.02,0.21,""
Si,0.15,0.02,0.12,""
S,0.02,0.02,0.02,""
Cl,0.10,0.02,0.06,""
Ca,45.26,0.18,24.92,""
Total:,100.0,,100.0,
