Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,53.32,0.13,"",C Vit
O,37.03,0.12,"",SiO2
Mg,4.70,0.02,"",MgO
Al,0.58,0.01,"",Al2O3
Si,3.12,0.02,"",SiO2
S,0.06,0.01,"",FeS2
Ca,0.53,0.01,"",Wollastonite
Fe,0.66,0.02,"",Fe
Total:,100.0,,100.0,
