Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.53,0.10,66.94,SiO2
Na,0.10,0.03,0.08,Albite
Mg,19.85,0.07,16.34,MgO
Al,2.25,0.03,1.67,Al2O3
Si,16.44,0.06,11.71,SiO2
Ca,3.65,0.03,1.82,Wollastonite
Cr,0.26,0.03,0.10,Cr
Fe,3.28,0.05,1.18,Fe
Ni,0.19,0.04,0.06,Ni
Mo,0.45,0.05,0.09,Mo
Total:,100.0,,100.0,
