Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,51.47,0.10,65.37,SiO2
Mg,18.51,0.06,15.47,MgO
Al,3.20,0.03,2.41,Al2O3
Si,17.55,0.06,12.70,SiO2
S,0.10,0.02,0.06,FeS2
K,0.16,0.02,0.08,KBr
Ca,4.39,0.03,2.22,Wollastonite
Cr,0.18,0.02,0.07,Cr
Fe,4.27,0.05,1.55,Fe
Ni,0.17,0.04,0.06,Ni
Total:,100.0,,100.0,
