Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,9.51,"",17.24,""
O,40.99,"",55.77,""
Mg,0.17,"",0.15,""
Al,0.11,"",0.09,""
Si,0.08,"",0.06,""
Ca,49.14,"",26.69,""
Total:,100.0,,100.0,
