Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,6.36,"",10.23,""
O,49.44,"",59.69,""
Na,0.59,"",0.49,""
Mg,15.33,"",12.18,""
Al,3.13,"",2.24,""
Si,17.50,"",12.04,""
Cl,0.01,"",0.00,""
K,0.20,"",0.10,""
Ca,3.21,"",1.55,""
Ti,0.10,"",0.04,""
Fe,4.14,"",1.43,""
Total:,100.0,,100.0,
