Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,11.63,"",19.93,""
O,44.85,"",57.67,""
Na,0.04,"",0.03,""
Mg,0.16,"",0.13,""
Ca,43.32,"",22.24,""
Total:,100.0,,100.0,
