Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,56.34,0.17,76.21,""
Na,0.01,0.03,0.01,""
Mg,0.26,0.03,0.23,""
Al,0.27,0.02,0.22,""
Si,0.12,0.02,0.10,""
S,0.14,0.02,0.09,""
Ca,42.86,0.16,23.15,""
Total:,100.0,,100.0,
