Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,19.97,"",29.37,""
O,46.29,"",51.10,""
Na,0.38,"",0.29,""
Mg,7.01,"",5.10,""
Al,3.98,"",2.60,""
Si,11.16,"",7.02,""
S,0.34,"",0.19,""
K,0.37,"",0.17,""
Ca,6.82,"",3.00,""
Ti,0.18,"",0.07,""
Fe,3.48,"",1.10,""
Total:,100.0,,100.0,
