Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,25.52,"",44.38,""
O,3.94,"",5.14,""
Na,27.74,"",25.20,""
Si,0.23,"",0.17,""
S,0.40,"",0.26,""
Cl,42.16,"",24.84,""
Total:,100.0,,100.0,
