Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,49.91,0.11,62.39,SiO2
Mg,20.25,0.07,16.66,MgO
Al,0.42,0.02,0.31,Al2O3
Si,28.13,0.08,20.03,SiO2
Ca,1.04,0.02,0.52,Wollastonite
Fe,0.26,0.03,0.09,Fe
Total:,100.0,,100.0,
