Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,12.79,"",19.17,""
N,10.84,"",13.93,""
O,46.44,"",52.27,""
Na,2.04,"",1.60,""
Al,0.32,"",0.21,""
Cl,2.36,"",1.20,""
K,25.22,"",11.61,""
Total:,100.0,,100.0,
