Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.30,0.08,"",SiO2
Mg,18.73,0.05,"",MgO
Al,4.17,0.03,"",Al2O3
Si,16.61,0.05,"",SiO2
S,0.20,0.01,"",FeS2
K,0.12,0.01,"",KBr
Ca,2.42,0.02,"",Wollastonite
Cr,0.19,0.02,"",Cr
Fe,4.13,0.04,"",Fe
Ni,0.14,0.03,"",Ni
Total:,100.0,,100.0,
