Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,20.59,0.35,"",C Vit
O,45.66,0.23,"",SiO2
Na,0.11,0.02,"",Albite
Mg,13.85,0.09,"",MgO
Al,1.56,0.03,"",Al2O3
Si,11.39,0.07,"",SiO2
S,0.04,0.01,"",FeS2
K,0.07,0.02,"",KBr
Ca,2.38,0.03,"",Wollastonite
Cr,0.19,0.03,"",Cr
Fe,3.97,0.06,"",Fe
Ni,0.19,0.04,"",Ni
Total:,100.0,,100.0,
