Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,17.91,"",28.85,""
O,43.27,"",52.32,""
Mg,0.18,"",0.15,""
Al,0.16,"",0.12,""
Ca,38.47,"",18.57,""
Total:,100.0,,100.0,
