Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.71,0.11,70.94,""
Mg,11.35,0.05,9.69,""
Al,0.95,0.02,0.73,""
Si,8.91,0.04,6.58,""
K,0.07,0.01,0.04,""
Ca,21.40,0.07,11.08,""
Ti,0.04,0.02,0.02,""
Cr,0.15,0.02,0.06,""
Fe,2.19,0.04,0.82,""
Ni,0.12,0.03,0.04,""
Pb,0.11,0.06,0.01,""
Total:,100.0,,100.0,
