Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,52.11,0.08,,SiO2
Na,0.12,0.02,,Albite
Mg,19.29,0.05,,MgO
Al,0.33,0.02,,Al2O3
Si,27.47,0.06,,SiO2
Cl,0.13,0.01,,NaCl
Ca,0.19,0.02,,Wollastonite
Fe,0.09,0.03,,Fe
Mo,0.26,0.04,,Mo
Total:,100.0,,100.0,
