Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,58.17,0.15,77.42,""
Mg,0.38,0.03,0.33,""
Al,0.22,0.02,0.17,""
Si,1.34,0.03,1.02,""
Ca,39.46,0.14,20.96,""
Mo,0.43,0.05,0.09,""
Total:,100.0,,100.0,
