Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,52.79,0.18,73.52,""
Mg,0.21,0.02,0.20,""
Al,0.42,0.02,0.34,""
Si,0.18,0.02,0.14,""
S,0.07,0.02,0.05,""
Ca,46.33,0.18,25.75,""
Total:,100.0,,100.0,
