Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,57.49,0.18,"",C Vit
O,4.49,0.07,"",SiO2
Na,16.16,0.07,"",Albite
Mg,0.09,0.01,"",MgO
Al,0.10,0.01,"",Al2O3
Si,0.13,0.01,"",SiO2
S,0.12,0.01,"",FeS2
Cl,20.97,0.09,"",NaCl
Ca,0.12,0.01,"",Wollastonite
Cu,0.31,0.02,"",Cu
Total:,100.0,,100.0,
