Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,50.21,0.26,65.10,""
Mg,11.46,0.13,9.78,""
Al,5.47,0.09,4.21,""
Si,20.93,0.16,15.46,""
Ca,7.04,0.07,3.65,""
Fe,4.88,0.08,1.81,""
Total:,100.0,,100.0,
