Id,Título,Oración,Objeto,Dónde se compró,Medidas,Datos adicionales,Voz,Otras versiones
13a,"ORACIÓN AL PODEROSO MONICATO
Ver 107","ORACION AL PODEROSO MONICATO
CON DOS TE MIRO, CON TRES TE AMARRO MONICATO PARA QUE ME HAGAS APARECER MI PRENDA EXTRAVIADA LO MAS PRONTO. EN TI PONGO TODA MI FE Y CONFIANZA MONICATO Y LUZBEL, CON ESTE AMULETO TIENE QUE VENIR MANSO Y DESESPERADO Y HUMILLADO A LAS PLANTAS DE MIS PIES FULANO O FULANA.
MONICATO Y LUZBEL, ESPÍRITU DOMINADOR, TÚ QUE DOMINAS LOS ESPIRITUS ENCARNADOS, QUIERO QUE ME DOMINES A FULANO O FULANA
(SE REPITE TRES VECES)",Cartón verde,Mercado de Catemaco (2015),12.5 x 7.5,,,
14,ORACIÓN DE LA “GALLINA NEGRA”,"ORACIÓN DE LA “GALLINA NEGRA”
Pluma Negra de los “Cuatro Vientos” Pluma de los “cuatro Poderes”, por el gran poder que tú tienes, quiero que me molestes a .....
Si está durmiendo, me esté soñando si despierto está, me este mirando y que siempre por mí suspirando.
Que sosiego no encuentre cuando no me vea y ganas de llorar sienta y venga a mí obediente y manso como un cordero a suplicarme que lo perdone.
Adión pluma de los “Cuatro Poderes” que has venido a mí a ayudarme. ",Cartón rojo,Mercado Independencia de Morelia (2015),12.5 x 9 cm,"“Para hacer esta Oración, debe tenerse una “GALLINA NEGRA” que nunca halla [sic] sido pisada.
Harás esto los días martes a las 12 de la noche: Al arrancarle una pluma a la Gallina Negra le dirán lo siguiente:”",,
15,ORACION DEL PURO,"ORACION DEL PURO.
Puro, purito, yo te conjuro en el nombre de la muerte; la señal que te pido me la has de dar, la ceniza tiene que caer, si está ansioso por hablarme; su boca ha de abrir y con esta oración tiene que venir manso, desesperado y humillado a las plantas de mi pies. 
Alma de los 4 vientos, tú que andas por el mundo entero quiero que me traigas a fulano..... por los siete espíritu [sic] y las siete ánimas, has [sic] que cambie sus amores y vuelva a mí. Con el gran poder de la muerte, tú que transitas por el mundo en calles, montes y colonias, si encuentras el alma de fulano...... no me lo dejes pasar, hasta que venga rendido a mis pies, si está sentado, no lo dejes en calma; ponte, en su mente mi pensamiento, si está durmiendo que me sueñe, no podrá dormir tranquilo, pues un niño él ha de oir llorar.",Cartón café claro,Mercado Independencia de Morelia (2015),12.5 x 9 cm,,,
16,ORACION DEL DINERO,"ORACION DEL DINERO
Dinero ven, ven, ven.
Lo necesario es tener gran fe..
para que el dinero me rinda y no se me vaya, porque así lo quiero y así será. 
San Judas yo te saludos yo te venero same muchas suerte, amor, salud y mucho dinero.
Dinero ven, ven, ven.
Siempre me acompañaras como buen amigo que eres.
Dinero ven, ven, ven.
Necesito que no te alejes demasiado Llegarás por todos los medios y serás mi gran amigo toda la vida.
Dinero ven, ven, ven. ",Cartón café claro,Mercado Independencia de Morelia,12.5 x 9 cm,,,
17,"ORACIÓN DE LA ALBAHACAR
VENCER Y DOMINAR","ORACION DE LA ALBAHACAR
¡ALBAHACAR! ERES MAS FUERTE QUE TODOS LOS FUERTES, TAN FUERTE COMO LA SANGRE DE CRISTO QUE FUE EXTRAIDA DE SU CORAZON Y POR ESO CON TU FUERTE OLOR, DOMINAS EL CORAZON DE UN LEON. CUANDO TE PIDA AYURA ALBAHACA, CON SUS SECRETOS Y TU GRAN OLOR, DEBES VENIR EN MI AYUDA PARA VENCER A FULANO Y NO HAS DE DEJAR DE EJERCER TU ACCION HASTA QUE SE ENCUENTRE A MI LADO EL TODOPODEROSO SABE QUE NINGUN MAL TE DESEOY TODO LO CONTRARIO MI ENTENCION ES CONSAGRAR MI AMOR PURIFICADO PARA TI POR ESO CON TU AYUDA TUYA, ALBAHACA, LOS DIAS DEL MISTERIO: MIERCOLES Y VIERNES ANTE EL ALTAR DE CONSAGRAR, CON TU AYUDA LLAME Y VENGA FULANO PARA QUE SE RECONCILIE CONMIGO ",Cartón,Mercado Independencia de Morelia (2015),12.5 x 9 cm,"SE REZAN TRES AVE MARIAS DURANTE NUEVE DIAS. ESTA ORACION ES EFICACISIMA PARA CONSEGUIR TODO LO QUE SE PIDA ANTES DE LOS NUEVE DIAS, POR DIFICIL QUE SEA.",,
18,"SAL DE 7 CANTINAS
PARA SALAR A UNA PERSONA",,Sobre con sal ,Mercado Independencia de Morelia (2015),7.5 x 9,"PARA SALAR A UNA PERSONA
Se prepara un brebaje en la siguiente forma:
Se usa pomo o frasco de vidrio con tapón ya sea de corcho o metálico y en dicho recipiente se pone una porción de orines, durante 7 días, además tantita sal de 7 cantinas, finalmente se le pone al frasco que contiene el brebaje 7 gotas de agua bendita y al día siguiente o sea a los 16 días de haber preparado esta solución, en la madrugada se vacía el liquido en cruz siendo suficiente para que ese hogar o persona quede salado durante 7 años.",,
19,"SAL CONTRA SAL
PARA MALEFICIOS",,Sobre con sal ,Mercado Independencia de Morelia (2015),7.5 x 9,"“PARA MALEFICIOS
Esta sal sirve para acabar con los chismes hechizos, contra daños y maleficios.
Uso: Espolvoree un poco de sal de esta sal por todas las esquinas de su casa para protegerse de los chismes, de los hechizos, contra toso tipo de ¨daños* y de maleficios.
Componentes: sal y colorante [¿?]
NO INGERIR. NO ES UN ALIMENTO
NO DEJAR AL ALCANCE DE LOS NIÑOS”
www.eleggua.es
Gijón
Tienda de productos esotéricos.",,
20,"SAL NEGRA
Para retirar Malos Vecinos",,Sobre con sal ,"Mercado de Sonora, México (2015)",7.5 x 9,"Para retirar Malos Vecinos
Se riega esta Sal en la puerta del o de los vecinos junto con tres pa[pe]litos en los cuales se debe escribir lo siguiente:
No.1. Escribe el nombre completo, cada día que pases aquí será para ti tu desgracias y
No. 2. Retirate y vete lejos si quieres librarte de la SAL NEGRA.
No. 3 Solo que te vayas muy lejos de aquí de librarás de esta terrible maldición. 221",,
21,SAL VIOLETA,,Sobre con sal ,Mercado de Sonora,7.5 x 9,"DOMINADORA
TU HOMBRE SERA SIEMPRE MUY CONFORME CONTIGO, EN TODO Y POR TODO [NUNC]A TE RECLAMARA JAMAS NI TE CELARA , EL TAMP[OCO] TRATARA DE ACECHARTE, JAMAS SE CREERA DE CHISMES NI DE CUENTOS SOBRE TU PERSONA, SOLAMENTE LO QUE TU QUIERAS HA DER CREER.
SE PONE ESTA SAL EN AGUA CALIENTE SUFICIENTE PARA BAÑAR TODO EL CUERPO, MOJAR Y FROTAR CON ESTA AGUA TODO EL CUERPO, ENJUAGAR BIEN, ENJABONAR CON JABON SANTIFICADO, ENJUAGAR Y SECAR EL CUERPO, SE GUARDA UN POCO DEL AGUA USADA EN ESTE BAÑO, PARA REGARLA O TIRARLA, EN LUGAR DONDE TRANSITE O PASE LA PERSONA QUE TU QUIERAS DOMINAR. ",mujer,
22,"SAL ROJA
FLOR DE LA PASION",,Sobre con sal ,Mercado de Sonora,7.5 x 9,"ESTA SAL SE USA REGADA DIRECTAMENTE AL PISO DONDE TENGA QUE TRANSITAR O DONDE SE PARE LA PERSONA QUE QUIERES QUE SEA TU AMOR PASIONAL.
PUEDE USARSE TAMBIEN DISUELTA EN AGUA PARA ROSEARLA DONDE TENGA QUE PASAR LA PERSONA QUE QUIERES.",,
