Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,69.06,0.10,"",C Vit
O,26.89,0.10,"",SiO2
Mg,1.78,0.01,"",MgO
Al,0.34,0.01,"",Al2O3
Si,1.25,0.01,"",SiO2
S,0.10,0.01,"",FeS2
Ca,0.27,0.01,"",Wollastonite
Fe,0.31,0.01,"",Fe
Total:,100.0,,100.0,
