Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,45.58,0.17,"",C Vit
O,41.10,0.16,"",SiO2
Mg,5.93,0.03,"",MgO
Al,0.25,0.01,"",Al2O3
Si,7.14,0.04,"",SiO2
Total:,100.0,,100.0,
