Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,51.73,0.12,64.76,SiO2
Mg,21.96,0.08,18.10,MgO
Al,2.57,0.04,1.91,Al2O3
Si,18.37,0.07,13.10,SiO2
Ca,1.45,0.03,0.72,Wollastonite
Cr,0.20,0.03,0.08,Cr
Fe,3.43,0.06,1.23,Fe
Ni,0.29,0.05,0.10,Ni
Total:,100.0,,100.0,
