Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.93,0.13,74.30,SiO2
Al,0.62,0.02,0.50,Al2O3
Si,0.85,0.02,0.67,SiO2
Ca,44.60,0.13,24.53,Wollastonite
Total:,100.0,,100.0,
