Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,12.24,"",21.30,""
O,40.97,"",53.51,""
Na,0.04,"",0.03,""
Mg,0.18,"",0.16,""
Al,2.84,"",2.20,""
Si,0.07,"",0.06,""
Ca,43.60,"",22.73,""
Fe,0.04,"",0.02,""
Total:,100.0,,100.0,
