Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,11.20,"",17.84,""
O,48.14,"",57.55,""
Mg,8.60,"",6.77,""
Al,4.26,"",3.02,""
Si,13.29,"",9.05,""
Ca,8.05,"",3.84,""
Fe,4.74,"",1.62,""
Mo,0.94,"",0.19,""
Ba,0.77,"",0.11,""
Total:,100.0,,100.0,
