Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,51.57,0.14,"",SiO2
Na,0.57,0.04,"",Albite
Mg,11.47,0.07,"",MgO
Al,5.50,0.05,"",Al2O3
Si,16.93,0.08,"",SiO2
S,0.59,0.02,"",FeS2
K,0.38,0.02,"",KBr
Ca,7.49,0.05,"",Wollastonite
Cr,0.12,0.03,"",Cr
Mn,0.08,0.03,"",Mn
Fe,4.31,0.06,"",Fe
Br,0.98,0.07,"",BaF2
Total:,100.0,,100.0,
