Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,83.84,0.33,93.05,Sio2
Na,3.47,0.22,2.68,Albite
Cl,0.09,0.08,0.04,NaCl
K,1.25,0.10,0.57,KBr
Ti,0.92,0.12,0.34,Ti
Fe,10.44,0.24,3.32,Fe
Total:,100.0,,100.0,
