Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,55.74,0.17,75.75,
Na,0.01,0.03,0.01,
Mg,0.21,0.03,0.19,
Al,0.50,0.02,0.40,
Si,0.06,0.02,0.05,
S,0.12,0.02,0.08,
Ca,43.36,0.17,23.52,
Total:,100.0,,100.0,
