Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,49.37,0.16,"",C Vit
O,34.32,0.07,"",SiO2
Mg,0.10,0.01,"",MgO
Al,0.26,0.01,"",Al2O3
Si,0.16,0.01,"",SiO2
S,0.06,0.01,"",FeS2
Ca,15.71,0.06,"",Wollastonite
Fe,0.03,0.02,"",Fe
Total:,100.0,,100.0,
