Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,10.80,"",16.47,""
O,48.47,"",55.49,""
Mg,16.14,"",12.16,""
Si,23.89,"",15.58,""
Ca,0.51,"",0.23,""
Fe,0.18,"",0.06,""
Total:,100.0,,100.0,
