Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,16.76,"",27.38,""
O,43.22,"",53.01,""
Na,0.00,"",0.00,""
Al,0.16,"",0.12,""
Si,0.00,"",0.00,""
Cl,0.02,"",0.01,""
K,0.00,"",0.00,""
Ca,39.77,"",19.47,""
Ti,0.00,"",0.00,""
Fe,0.00,"",0.00,""
Ba,0.06,"",0.01,""
Total:,100.0,,100.0,
