Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,46.48,0.12,"",C Vit
O,36.16,0.13,"",SiO2
Mg,0.08,0.01,"",MgO
Al,0.19,0.01,"",Al2O3
Si,0.09,0.01,"",SiO2
S,0.07,0.01,"",FeS2
Ca,16.92,0.05,"",Wollastonite
Total:,100.0,,100.0,
