Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,10.20,"",16.27,""
O,47.63,"",57.05,""
Na,0.37,"",0.31,""
Mg,11.00,"",8.67,""
Al,4.66,"",3.31,""
Si,12.97,"",8.85,""
K,0.11,"",0.05,""
Ca,7.40,"",3.54,""
Ti,0.13,"",0.05,""
Cr,0.15,"",0.06,""
Fe,5.36,"",1.84,""
Total:,100.0,,100.0,
