Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,7.37,"",11.62,""
O,48.60,"",57.55,""
Mg,16.53,"",12.88,""
Al,0.52,"",0.37,""
Si,25.00,"",16.86,""
Ca,0.31,"",0.15,""
Fe,1.66,"",0.56,""
Total:,100.0,,100.0,
