Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,12.22,"",19.19,""
O,47.61,"",56.12,
Mg,9.66,"",7.49,""
Al,4.42,"",3.09,""
Si,13.10,"",8.80,""
S,0.37,"",0.22,""
Ca,7.72,"",3.63,""
Fe,3.93,"",1.33,""
Ba,0.98,"",0.13,""
Total:,100.0,,100.0,
