Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,2.67,"",4.35,""
O,49.07,"",60.06,""
Na,0.11,"",0.09,""
Mg,18.95,"",15.27,""
Si,28.52,"",19.88,""
Cl,0.23,"",0.13,""
Ca,0.46,"",0.22,""
Total:,100.0,,100.0,
