Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,52.46,0.09,"",SiO2
Mg,20.04,0.06,"",MgO
Al,2.45,0.03,"",Al2O3
Si,16.36,0.05,"",SiO2
S,0.09,0.01,"",FeS2
K,0.11,0.01,"",KBr
Ca,3.19,0.02,"",Wollastonite
Ti,0.03,0.01,"",Ti
Cr,0.21,0.01,"",Cr
Fe,4.78,0.03,"",Fe
Ni,0.18,0.02,"",Ni
Ag,0.05,0.02,"",Ag
Ba,0.05,0.03,"",BaF2
Total:,100.0,,100.0,
