Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,66.31,0.06,"",C Vit
O,27.77,0.06,"",SiO2
Na,0.06,0.01,"",Albite
Mg,0.21,0.00,"",MgO
Al,0.42,0.00,"",Al2O3
Si,1.60,0.01,"",SiO2
P,0.08,0.00,"",GaP
S,0.18,0.00,"",FeS2
Cl,0.15,0.00,"",NaCl
K,1.66,0.01,"",KBr
Ca,1.10,0.01,"",Wollastonite
Mn,0.05,0.01,"",Mn
Fe,0.41,0.01,"",Fe
Total:,100.0,,100.0,
