Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.23,0.20,74.65,""
Mg,0.24,0.03,0.22,""
Al,0.22,0.03,0.18,""
Si,0.24,0.02,0.19,""
S,0.05,0.02,0.03,""
Ca,45.01,0.20,24.73,""
Total:,100.0,,100.0,
