Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,6.58,"",10.99,""
O,47.46,"",59.51,""
Na,0.28,"",0.25,""
Mg,11.31,"",9.33,""
Al,4.69,"",3.49,""
Si,13.75,"",9.82,""
S,0.58,"",0.36,""
K,0.35,"",0.18,""
Ca,6.95,"",3.48,""
Cr,0.17,"",0.06,""
Fe,6.44,"",2.31,""
Ba,1.45,"",0.21,""
Total:,100.0,,100.0,
