Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,20.58,"",38.38,""
O,1.24,"",1.73,""
Na,30.59,"",29.81,""
Al,0.17,"",0.14,""
Cl,47.25,"",29.85,""
K,0.17,"",0.10,""
Total:,100.0,,100.0,
