Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,22.56,0.50,"",C Vit
O,6.11,0.11,"",SiO2
Na,30.19,0.21,"",Albite
Mg,0.26,0.02,"",MgO
Al,0.24,0.01,"",Al2O3
SI,0.19,0.01,"",SiO2
S,0.33,0.01,"",FeS2
Cl,38.09,0.26,"",NaCl
Ca,0.48,0.02,"",Wollastonite
Ra,1.55,0.11,"",Ru (v)
Total:,100.0,,100.0,
